starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 22 21:23:15 2016	1482438195782303	0	3	3	3
Thu Dec 22 21:23:15 2016	1482438195782801	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195783803	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195784303	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195785303	0	5	5	4
Thu Dec 22 21:23:15 2016	1482438195785804	0	5	5	4
Thu Dec 22 21:23:15 2016	1482438195786306	0	5	5	3
Thu Dec 22 21:23:15 2016	1482438195786806	0	5	5	3
Thu Dec 22 21:23:15 2016	1482438195787305	3	2	5	2
Thu Dec 22 21:23:15 2016	1482438195790308	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195790807	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195791307	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195792308	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195792811	0	2	2	1
Thu Dec 22 21:23:15 2016	1482438195793310	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195793811	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195794311	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195795312	0	2	2	0
Thu Dec 22 21:23:15 2016	1482438195795810	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195796313	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195796812	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195797313	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195797812	1	2	3	2
Thu Dec 22 21:23:15 2016	1482438195798813	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195799315	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195800315	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195800814	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195801314	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195802315	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195802818	0	2	2	2
Thu Dec 22 21:23:15 2016	1482438195803317	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195803817	0	4	4	1
Thu Dec 22 21:23:15 2016	1482438195804816	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195805317	0	3	3	3
Thu Dec 22 21:23:15 2016	1482438195805817	1	3	4	2
Thu Dec 22 21:23:15 2016	1482438195806820	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195807819	0	3	3	3
Thu Dec 22 21:23:15 2016	1482438195808319	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195808821	1	2	3	1
Thu Dec 22 21:23:15 2016	1482438195809821	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195810320	1	2	3	2
Thu Dec 22 21:23:15 2016	1482438195811321	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195811823	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195812322	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195812823	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195813322	1	2	3	1
Thu Dec 22 21:23:15 2016	1482438195814323	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195814823	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195815324	1	2	3	1
Thu Dec 22 21:23:15 2016	1482438195816324	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195816825	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195817326	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195817827	1	2	3	0
Thu Dec 22 21:23:15 2016	1482438195818827	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195819328	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195819827	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195820327	0	3	3	3
Thu Dec 22 21:23:15 2016	1482438195820828	0	3	3	3
Thu Dec 22 21:23:15 2016	1482438195821828	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195822328	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195823328	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195823829	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195824831	0	3	3	0
Thu Dec 22 21:23:15 2016	1482438195824331	0	4	4	3
Thu Dec 22 21:23:15 2016	1482438195825830	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195826332	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195826831	1	2	3	2
Thu Dec 22 21:23:15 2016	1482438195827832	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195828333	0	3	3	1
Thu Dec 22 21:23:15 2016	1482438195828834	0	4	4	1
Thu Dec 22 21:23:15 2016	1482438195829333	1	3	4	3
Thu Dec 22 21:23:15 2016	1482438195830835	0	3	3	2
Thu Dec 22 21:23:15 2016	1482438195831337	1	2	3	0
Thu Dec 22 21:23:15 2016	1482438195830333	0	8	8	7
Thu Dec 22 21:23:15 2016	1482438195832835	0	6	6	5
Thu Dec 22 21:23:15 2016	1482438195833337	0	12	12	4
Thu Dec 22 21:23:15 2016	1482438195834336	0	11	11	11
Thu Dec 22 21:23:15 2016	1482438195834838	3	9	12	7
Thu Dec 22 21:23:15 2016	1482438195838340	0	9	9	6
Thu Dec 22 21:23:15 2016	1482438195839339	6	3	9	3
Thu Dec 22 21:23:15 2016	1482438195845343	0	4	4	3
