starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 22 21:18:36 2016	1482437916500614	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916501615	0	4	4	1
Thu Dec 22 21:18:36 2016	1482437916502117	1	4	5	4
Thu Dec 22 21:18:36 2016	1482437916503117	1	3	4	3
Thu Dec 22 21:18:36 2016	1482437916504119	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916505118	1	4	5	1
Thu Dec 22 21:18:36 2016	1482437916506118	0	5	5	3
Thu Dec 22 21:18:36 2016	1482437916507119	0	5	5	3
Thu Dec 22 21:18:36 2016	1482437916508620	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916509620	0	4	4	4
Thu Dec 22 21:18:36 2016	1482437916510121	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916511622	0	11	11	2
Thu Dec 22 21:18:36 2016	1482437916512122	1	11	12	0
Thu Dec 22 21:18:36 2016	1482437916513623	0	11	11	11
Thu Dec 22 21:18:36 2016	1482437916514123	0	12	12	10
Thu Dec 22 21:18:36 2016	1482437916514624	8	4	12	2
Thu Dec 22 21:18:36 2016	1482437916522629	1	4	5	4
Thu Dec 22 21:18:36 2016	1482437916524131	1	4	5	3
Thu Dec 22 21:18:36 2016	1482437916525631	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916526133	1	4	5	1
Thu Dec 22 21:18:36 2016	1482437916527133	1	4	5	4
Thu Dec 22 21:18:36 2016	1482437916528133	1	4	5	2
Thu Dec 22 21:18:36 2016	1482437916529634	1	4	5	1
Thu Dec 22 21:18:36 2016	1482437916530635	1	5	6	5
Thu Dec 22 21:18:36 2016	1482437916531636	0	6	6	4
Thu Dec 22 21:18:36 2016	1482437916532637	1	4	5	3
Thu Dec 22 21:18:36 2016	1482437916533637	1	4	5	2
Thu Dec 22 21:18:36 2016	1482437916534637	2	3	5	2
Thu Dec 22 21:18:36 2016	1482437916536638	1	3	4	1
Thu Dec 22 21:18:36 2016	1482437916537639	0	4	4	0
Thu Dec 22 21:18:36 2016	1482437916538141	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916539640	0	4	4	2
Thu Dec 22 21:18:36 2016	1482437916540141	0	5	5	1
Thu Dec 22 21:18:36 2016	1482437916541141	1	4	5	4
Thu Dec 22 21:18:36 2016	1482437916542143	0	5	5	3
Thu Dec 22 21:18:36 2016	1482437916543144	1	4	5	2
Thu Dec 22 21:18:36 2016	1482437916544144	1	4	5	1
Thu Dec 22 21:18:36 2016	1482437916545145	1	4	5	4
Thu Dec 22 21:18:36 2016	1482437916546146	1	4	5	3
Thu Dec 22 21:18:36 2016	1482437916547646	0	5	5	2
Thu Dec 22 21:18:36 2016	1482437916548646	0	5	5	0
Thu Dec 22 21:18:36 2016	1482437916549647	0	5	5	5
Thu Dec 22 21:18:36 2016	1482437916551148	0	5	5	4
Thu Dec 22 21:18:36 2016	1482437916551648	1	4	5	2
Thu Dec 22 21:18:36 2016	1482437916553650	0	4	4	1
Thu Dec 22 21:18:36 2016	1482437916554652	0	4	4	3
Thu Dec 22 21:18:36 2016	1482437916555152	0	4	4	2
