starttime	seconds	ctime	dtime	ttime	wait
Thu Dec 22 21:15:07 2016	1482437707677055	0	10	10	6
Thu Dec 22 21:15:07 2016	1482437707679557	3	5	8	4
Thu Dec 22 21:15:07 2016	1482437707683059	0	6	6	5
Thu Dec 22 21:15:07 2016	1482437707684061	0	5	5	4
Thu Dec 22 21:15:07 2016	1482437707685061	2	3	5	3
Thu Dec 22 21:15:07 2016	1482437707687562	0	4	4	4
Thu Dec 22 21:15:07 2016	1482437707688062	1	4	5	3
Thu Dec 22 21:15:07 2016	1482437707689063	0	6	6	5
Thu Dec 22 21:15:07 2016	1482437707690064	0	7	7	4
Thu Dec 22 21:15:07 2016	1482437707691065	1	7	8	7
Thu Dec 22 21:15:07 2016	1482437707692065	1	7	8	6
Thu Dec 22 21:15:07 2016	1482437707693066	2	6	8	4
Thu Dec 22 21:15:07 2016	1482437707695067	2	7	9	7
Thu Dec 22 21:15:07 2016	1482437707697569	2	6	8	4
Thu Dec 22 21:15:07 2016	1482437707699570	0	7	7	7
Thu Dec 22 21:15:07 2016	1482437707700070	1	7	8	5
Thu Dec 22 21:15:07 2016	1482437707701573	2	5	7	3
Thu Dec 22 21:15:07 2016	1482437707704576	0	5	5	4
Thu Dec 22 21:15:07 2016	1482437707705575	1	4	5	2
Thu Dec 22 21:15:07 2016	1482437707707075	1	3	4	1
Thu Dec 22 21:15:07 2016	1482437707708076	1	2	3	0
Thu Dec 22 21:15:07 2016	1482437707709077	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707710078	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707710579	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707711079	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707712078	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707712579	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707713579	0	3	3	0
Thu Dec 22 21:15:07 2016	1482437707714084	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707715082	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707715582	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707716582	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707717083	0	5	5	4
Thu Dec 22 21:15:07 2016	1482437707717582	0	7	7	5
Thu Dec 22 21:15:07 2016	1482437707718082	0	7	7	6
Thu Dec 22 21:15:07 2016	1482437707718583	1	7	8	6
Thu Dec 22 21:15:07 2016	1482437707720584	0	7	7	7
Thu Dec 22 21:15:07 2016	1482437707722586	0	7	7	6
Thu Dec 22 21:15:07 2016	1482437707724587	0	6	6	5
Thu Dec 22 21:15:07 2016	1482437707725588	0	7	7	6
Thu Dec 22 21:15:07 2016	1482437707727089	0	7	7	6
Thu Dec 22 21:15:07 2016	1482437707728090	1	7	8	6
Thu Dec 22 21:15:07 2016	1482437707729590	0	7	7	7
Thu Dec 22 21:15:07 2016	1482437707731091	0	7	7	6
Thu Dec 22 21:15:07 2016	1482437707734594	0	7	7	7
Thu Dec 22 21:15:07 2016	1482437707736095	1	5	6	5
Thu Dec 22 21:15:07 2016	1482437707732592	0	10	10	6
Thu Dec 22 21:15:07 2016	1482437707737096	0	7	7	5
Thu Dec 22 21:15:07 2016	1482437707738596	0	6	6	6
Thu Dec 22 21:15:07 2016	1482437707742100	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707742599	0	4	4	2
Thu Dec 22 21:15:07 2016	1482437707743101	0	4	4	1
Thu Dec 22 21:15:07 2016	1482437707744100	1	3	4	2
Thu Dec 22 21:15:07 2016	1482437707745101	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707745601	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707746601	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707747604	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707748103	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707748603	1	2	3	1
Thu Dec 22 21:15:07 2016	1482437707749604	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707750104	1	2	3	2
Thu Dec 22 21:15:07 2016	1482437707751106	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707752105	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707753106	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707753607	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707754107	1	2	3	1
Thu Dec 22 21:15:07 2016	1482437707752105	1	5	6	5
Thu Dec 22 21:15:07 2016	1482437707755108	1	3	4	2
Thu Dec 22 21:15:07 2016	1482437707757110	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707757609	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707756109	0	5	5	2
Thu Dec 22 21:15:07 2016	1482437707758612	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707759110	1	2	3	2
Thu Dec 22 21:15:07 2016	1482437707760112	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707760612	1	2	3	2
Thu Dec 22 21:15:07 2016	1482437707761612	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707762112	0	3	3	1
Thu Dec 22 21:15:07 2016	1482437707762612	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707763613	0	4	4	3
Thu Dec 22 21:15:07 2016	1482437707764114	1	3	4	2
Thu Dec 22 21:15:07 2016	1482437707765114	0	3	3	3
Thu Dec 22 21:15:07 2016	1482437707766115	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707766616	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707767616	0	3	3	2
Thu Dec 22 21:15:07 2016	1482437707768117	0	4	4	2
Thu Dec 22 21:15:07 2016	1482437707768616	1	3	4	3
Thu Dec 22 21:15:07 2016	1482437707769617	1	3	4	2
Thu Dec 22 21:15:07 2016	1482437707770619	0	4	4	2
